cycles,elapsed_s,instructions,ipc,l2_load_access,l2_load_miss,l2_pf_accuracy,l2_pf_issued,l2_pf_requested,l2_pf_useful,l2_pf_useless,l2_prefetch_access,l2_prefetch_miss,l2_rfo_access,l2_rfo_miss,l2_total_access,l2_total_miss,labels_debug,labels_npz,log,ml_l2_requests,mode,policy,returncode,state_dump,threshold,trace,trace_id
27682262,198.2,20000001,0.7225,24471,20984,0,0,0,0,0,2493906,402607,93,12,2536885,430328,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/train_20M_20M_none_thr_0.out,0,train_20M_20M,none,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/states.csv,0,traces/Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz,Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz
14597510,148.5,20000003,1.37,645513,40948,0,0,0,0,0,640773,435072,1214,0,1289976,476378,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/train_20M_20M_none_thr_0.out,0,train_20M_20M,none,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/states.csv,0,traces/Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz
9002763,144.5,20000000,2.222,20123,6379,0,0,0,0,0,490810,220110,840,1,518115,228239,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/train_20M_20M_none_thr_0.out,0,train_20M_20M,none,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/states.csv,0,traces/SPEC17/602.gcc_s-734B.champsimtrace.xz,SPEC17_602.gcc_s-734B.champsimtrace.xz
9910132,104.0,20000001,2.018,19026,9376,0,0,0,0,0,431406,244411,56,55,450685,253871,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/train_20M_20M_none_thr_0.out,0,train_20M_20M,none,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/states.csv,0,traces/SPEC17/623.xalancbmk_s-165B.champsimtrace.xz,SPEC17_623.xalancbmk_s-165B.champsimtrace.xz
7011300,91.6,20000000,2.853,23479,2603,0,0,0,0,0,166352,2724,10273,1773,215749,7172,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/train_20M_20M_none_thr_0.out,0,train_20M_20M,none,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/states.csv,0,traces/SPEC17/627.cam4_s-573B.champsimtrace.xz,SPEC17_627.cam4_s-573B.champsimtrace.xz
8819396,151.1,20000002,2.268,101435,14664,0,0,0,0,0,609267,221388,308,0,887165,236410,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/train_20M_20M_none_thr_0.out,0,train_20M_20M,none,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/states.csv,0,traces/SPEC17/649.fotonik3d_s-1176B.champsimtrace.xz,SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz
7221653,84.6,20000003,2.769,0,0,0,0,0,0,0,9019,8367,0,0,9035,8383,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/train_20M_20M_none_thr_0.out,0,train_20M_20M,none,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/states.csv,0,traces/SPEC17/657.xz_s-56B.champsimtrace.xz,SPEC17_657.xz_s-56B.champsimtrace.xz
11979719,184.3,20000002,1.669,414841,118808,0,0,0,0,0,1104906,536629,36886,35094,1597392,692002,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/train_20M_20M_none_thr_0.out,0,train_20M_20M,none,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/states.csv,0,traces/ai-ml/bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz,ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz
10216122,166.8,20000003,1.958,157991,84417,0,0,0,0,0,1469981,1419545,2361,2119,1634802,1507539,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/train_20M_20M_none_thr_0.out,0,train_20M_20M,none,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/states.csv,0,traces/ai-ml/llama2.c-stories15M.1.champsimtrace.gz,ai-ml_llama2.c-stories15M.1.champsimtrace.gz
7193786,160.9,20000005,2.78,448531,56372,0,0,0,0,0,385252,97985,3853,3288,845071,157951,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_whisper_trace_1.champsimtrace.gz/labels_debug.csv,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_whisper_trace_1.champsimtrace.gz/labels.npz,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_whisper_trace_1.champsimtrace.gz/train_20M_20M_none_thr_0.out,0,train_20M_20M,none,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter00/collect/ai-ml_whisper_trace_1.champsimtrace.gz/states.csv,0,traces/ai-ml/whisper_trace_1.champsimtrace.gz,ai-ml_whisper_trace_1.champsimtrace.gz
